545.427,-107.442,515.170,177.734,-11.498,22.556
404.222,-135.998,478.000,-178.990,-11.724,21.029
305.843,-141.748,424.765,-178.741,-16.535,17.443
435.276,5.671,510.443,-173.197,-5.186,-17.130
478.287,193.957,480.663,171.623,-5.186,-17.130
123.860,256.957,146.929,170.094,-32.508,-12.530
231.025,616.926,-366.224,137.426,-44.912,0.082
519.738,-257.366,55.252,-153.425,16.442,-41.810
373.891,-160.049,20.051,-168.621,-22.285,2.690
514.398,-18.715,517.957,-173.197,-5.186,-17.130
1.261,-327.850,193.721,-151.285,-20.919,-25.585
77.791,-650.832,-40.033,169.766,-50.195,48.630
162.632,-594.679,173.524,-143.854,-20.026,-11.330
386.739,-591.647,303.685,-157.236,-8.906,-3.274
38.332,-463.087,218.181,-147.785,-8.031,-37.658
